ID,ORIG_LEN,NAME,Station,x,y
1,0,Bloor-Danforth Subway,Kennedy,-79.264532,43.732266
2,400,Bloor-Danforth Subway,Warden,-79.26837351,43.73010073
3,800,Bloor-Danforth Subway,Warden,-79.27119267,43.72713989
4,1200,Bloor-Danforth Subway,Warden,-79.27392565,43.72413401
5,1600,Bloor-Danforth Subway,Warden,-79.27581714,43.72081689
6,2000,Bloor-Danforth Subway,Warden,-79.27742324,43.71741739
7,2400,Bloor-Danforth Subway,Warden,-79.27867052,43.71393677
8,2800,Bloor-Danforth Subway,Victoria Park,-79.27935537,43.71037088
9,3200,Bloor-Danforth Subway,Victoria Park,-79.27999799,43.70680091
10,3600,Bloor-Danforth Subway,Victoria Park,-79.28059865,43.7032269
11,4000,Bloor-Danforth Subway,Victoria Park,-79.28121749,43.69965614
12,4400,Bloor-Danforth Subway,Victoria Park,-79.28395451,43.69675384
13,4800,Bloor-Danforth Subway,Victoria Park,-79.28832131,43.69504671
14,5200,Bloor-Danforth Subway,Main Street,-79.29267849,43.69332822
15,5600,Bloor-Danforth Subway,Main Street,-79.29669945,43.69121847
16,6000,Bloor-Danforth Subway,Main Street,-79.30086726,43.68929319
17,6400,Bloor-Danforth Subway,Woodbine,-79.30556621,43.68814039
18,6800,Bloor-Danforth Subway,Woodbine,-79.31031139,43.68709006
19,7200,Bloor-Danforth Subway,Coxwell,-79.3150736,43.68608519
20,7600,Bloor-Danforth Subway,Coxwell,-79.31981421,43.68502596
21,8000,Bloor-Danforth Subway,Greenwood,-79.32457831,43.68402352
22,8400,Bloor-Danforth Subway,Greenwood,-79.32933484,43.68300091
23,8800,Bloor-Danforth Subway,Donlands,-79.33409166,43.68197879
24,9200,Bloor-Danforth Subway,Pape,-79.33885341,43.68096921
25,9600,Bloor-Danforth Subway,Pape,-79.34364857,43.68004642
26,10000,Bloor-Danforth Subway,Chester,-79.34843542,43.67910089
27,10400,Bloor-Danforth Subway,Broadview,-79.35322242,43.67815592
28,10800,Bloor-Danforth Subway,Broadview,-79.3580191,43.67723853
29,11200,Bloor-Danforth Subway,Castle Frank,-79.36228786,43.6755404
30,11600,Bloor-Danforth Subway,Castle Frank,-79.36704921,43.67455121
31,12000,Bloor-Danforth Subway,Sherbourne,-79.37109824,43.67249244
32,12400,Bloor-Danforth Subway,Sherbourne,-79.37598739,43.6724572
33,12800,Bloor-Danforth Subway,Bloor-Yonge,-79.38078495,43.67156615
